DDCTransactionId67C4E6B54821EAD9C15960961316B64F_48, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBuf73E35E74__07AD1E40AE5901D4323040E5287D3ABD3953CC42, StartTime=2016.05.24-09.33.03, HierarchicalDDC, DataSize=17019 bytes, Retrieved=true, Duration=0.096813ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_49, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBuf73E35E74__4765A473A0D4F0B927AA0D480D31D2402C9F9FBD, StartTime=2016.05.24-09.33.03, HierarchicalDDC, DataSize=10935 bytes, Retrieved=true, Duration=1.349933ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_50, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufDC721E05__98EBCF9F5423F797CDB3ACCED40048225FBA6A39, StartTime=2016.05.24-09.33.03, HierarchicalDDC, DataSize=47501 bytes, Retrieved=true, Duration=0.105146ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_51, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufDC721E05__1C69E71487C9D945FB77CFD00E62FA645C490DB3, StartTime=2016.05.24-09.33.03, HierarchicalDDC, DataSize=41213 bytes, Retrieved=true, Duration=1.000509ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_52, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufEE932653__B3F073178F3F1130CB72A034EF5B5C6781420DA7, StartTime=2016.05.24-09.33.03, HierarchicalDDC, DataSize=97656 bytes, Retrieved=true, Duration=0.184331ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_53, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufEE932653__E5DE69366CEF3411C5F5B2D097DC39DB4B4BC537, StartTime=2016.05.24-09.33.03, HierarchicalDDC, DataSize=64177 bytes, Retrieved=true, Duration=1.173936ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_54, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufD10B7D22__326F6A54B76BD42B8D40425AACF8F1F639A0B532, StartTime=2016.05.24-09.33.03, HierarchicalDDC, DataSize=26747 bytes, Retrieved=true, Duration=0.077259ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_55, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufD10B7D22__FE6E8A900FB3F7E66F1E0900DE5EAEDBC09CE275, StartTime=2016.05.24-09.33.03, HierarchicalDDC, DataSize=19576 bytes, Retrieved=true, Duration=23.872110ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_56, GetCachedData, CacheKey=GSM_af1606fcec214373844d2b6cf9df71c8_PCD3D_SM4_3__BC5N_DEV_SL_NoDBuf_TAtmosphe__BF0EF7E4CB862902856743C5AFE6673740FA8C40, StartTime=2016.05.24-09.33.17, HierarchicalDDC, DataSize=1593035 bytes, Retrieved=true, Duration=21.048182ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
../../../Engine/Content/MobileResources/HUD/VirtualJoystick_Thumb.uasset, AllOfLoadPackage_Duration=46.439830ms, AllOfLoadPackage_HitCount=74, ResolveRedirectors_Duration=3942.299735ms, ResolveRedirectors_HitCount=74, CacheForCookedPlatformData_Duration=38.454015ms, CacheForCookedPlatformData_HitCount=1, UnsolicitedMarkup_Duration=11.088621ms, UnsolicitedMarkup_HitCount=1, SavePackageCacheForCookedPlatformData_Duration=37.188999ms, SavePackageCacheForCookedPlatformData_HitCount=171, SaveCookedPackage_Duration=3680.958044ms, SaveCookedPackage_HitCount=170, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_57, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufE00E67C0__EFF7136C968FE1A3995DFB2D75EAA6F66B61525A, StartTime=2016.05.24-09.33.19, HierarchicalDDC, DataSize=514284 bytes, Retrieved=true, Duration=5.270861ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_58, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufE00E67C0__D35B338158045D46056875B38CC3300AE17778E1, StartTime=2016.05.24-09.33.19, HierarchicalDDC, DataSize=386908 bytes, Retrieved=true, Duration=44.825729ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_59, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufE00E67C0__CF5A1B7935AAE5A8A29B4F3078DA93BCA3B64F85, StartTime=2016.05.24-09.33.19, HierarchicalDDC, DataSize=500487 bytes, Retrieved=true, Duration=3.255419ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
